LF,flow_x,flow_y,flow_z,parcel_size,dom_x,dom_y,dom_z,quads,rk_order,ftts,cost,rho
lf-1/lf197,64,32,16,10,32,16,8,86,4,3,13472.142,0.8908262846
lf-1/lf198,64,32,16,10,32,16,8,50,4,3,13693.873,0.9468651829
lf-1/lf199,64,32,16,10,32,8,16,86,4,3,13295.88,0.9015418659
lf-1/lf200,64,32,16,10,32,8,16,50,4,3,14062.623,0.9127597163
lf-1/lf201,64,32,16,10,32,8,8,86,4,3,13095.907,0.938442609
lf-1/lf202,64,32,16,10,32,8,8,50,4,3,13697.831,0.9309264348
lf-1/lf203,64,32,16,10,0,0,0,0,4,3,10890.973,0.9130625713
lf-1/lf204,64,16,32,100,64,16,16,86,4,3,14271.829,0.9115806929
lf-1/lf205,64,16,32,100,64,16,16,50,4,3,19246.214,0.914972023
lf-1/lf206,64,16,32,100,64,16,8,86,4,3,14143.26,0.918857217
lf-1/lf207,64,16,32,100,64,16,8,50,4,3,14136.088,0.9275671963
lf-1/lf208,64,16,32,100,64,8,16,86,4,3,14142.009,0.9126906937
lf-1/lf209,64,16,32,100,64,8,16,50,4,3,14132.267,0.9147621259
lf-1/lf210,64,16,32,100,64,8,8,86,4,3,14324.475,0.925562139
lf-1/lf211,64,16,32,100,64,8,8,50,4,3,14344.005,0.8965799375
lf-1/lf212,64,16,32,100,32,16,16,86,4,3,13378.175,0.9059746289
lf-1/lf213,64,16,32,100,32,16,16,50,4,3,13349.75,0.9044440779
lf-1/lf214,64,16,32,100,32,16,8,86,4,3,13272.496,0.9124195462
lf-1/lf215,64,16,32,100,32,16,8,50,4,3,13397.517,0.9074655405
lf-1/lf216,64,16,32,100,32,8,16,86,4,3,13180.127,0.8927105205
lf-1/lf217,64,16,32,100,32,8,16,50,4,3,13419.425,0.9056251249
lf-1/lf218,64,16,32,100,32,8,8,86,4,3,12922.429,0.9064429055
lf-1/lf219,64,16,32,100,32,8,8,50,4,3,13391.682,0.9044876976
lf-1/lf220,64,16,32,100,0,0,0,0,4,3,10950.496,0.8778110916
lf-1/lf221,64,16,32,10,64,16,16,86,4,3,14148.012,0.9188955866
lf-1/lf222,64,16,32,10,64,16,16,50,4,3,15760.515,0.9286311617
lf-1/lf223,64,16,32,10,64,16,8,86,4,3,14004.508,0.9308367
lf-1/lf224,64,16,32,10,64,16,8,50,4,3,14336.59,0.9538896029
lf-1/lf225,64,16,32,10,64,8,16,86,4,3,14205.153,0.9138192223
lf-1/lf226,64,16,32,10,64,8,16,50,4,3,14669.454,0.9483326613
lf-1/lf227,64,16,32,10,64,8,8,86,4,3,14367.141,0.9029477564
lf-1/lf228,64,16,32,10,64,8,8,50,4,3,14477.554,0.9070682435
lf-1/lf229,64,16,32,10,32,16,16,86,4,3,13506.695,0.9025893295
lf-1/lf230,64,16,32,10,32,16,16,50,4,3,13726.281,0.932012234
lf-1/lf231,64,16,32,10,32,16,8,86,4,3,13716.331,0.9245540348
lf-1/lf232,64,16,32,10,32,16,8,50,4,3,13594.443,0.9211695072
lf-1/lf233,64,16,32,10,32,8,16,86,4,3,13510.783,0.9180113199
